,Station Number,Station Name,Latitude,Longitude,RHBN
167,05DA007, MISTAYA RIVER NEAR SASKATCHEWAN CROSSING,51.88,116.69,True
168,05DA009, NORTH SASKATCHEWAN RIVER AT WHIRLPOOL POINT,52.0,116.47,True
169,05DA010, SILVERHORN CREEK NEAR THE MOUTH,51.8,116.58,True
170,05DB002, PRAIRIE CREEK NEAR ROCKY MOUNTAIN HOUSE,52.27,114.93,True
171,05DB005, PRAIRIE CREEK BELOW LICK CREEK,52.25,115.29,True
172,05DB006, CLEARWATER RIVER NEAR DOVERCOURT,52.25,114.86,True
173,05DC006, RAM RIVER NEAR THE MOUTH,52.37,115.42,True
174,05DD009, NORDEGG RIVER AT SUNCHILD ROAD,52.82,115.52,True
175,05DE007, ROSE CREEK NEAR ALDER FLATS,52.93,115.01,True
176,05DF006, WHITEMUD CREEK NEAR ELLERSLIE,53.41,113.59,True
177,05DF007, WEST WHITEMUD CREEK NEAR IRETON,53.22,113.69,True
178,05EA005, STURGEON RIVER NEAR VILLENEUVE,53.66,113.76,True
179,05EC002, WASKATENAU CREEK NEAR WASKATENAU,54.12,112.78,True
180,05EC005, REDWATER RIVER NEAR THE MOUTH,53.9,113.0,True
181,05ED002, ATIMOSWE CREEK NEAR ELK POINT,53.89,110.92,True
182,05EE005, STRETTON CREEK NEAR MARWAYNE,53.44,110.33,True
183,05EE006, VERMILION RIVER TRIBUTARY NEAR BRUCE,53.29,112.05,True
184,05FA001, BATTLE RIVER NEAR PONOKA,52.66,113.58,True
185,05FB002, IRON CREEK NEAR HARDISTY,52.71,111.31,True
186,05FC002, BIGKNIFE CREEK NEAR GADSBY,52.52,112.36,True
187,05FE002, BUFFALO CREEK AT HIGHWAY NO. 41,53.01,110.87,True
188,05GA008, SOUNDING CREEK NEAR OYEN,51.57,110.47,True
189,06AA001, BEAVER RIVER NEAR GOODRIDGE,54.44,111.37,True
190,06AA002, AMISK RIVER AT HIGHWAY NO. 36,54.47,112.01,False
191,06AB001, SAND RIVER NEAR THE MOUTH,54.47,111.19,True
192,06AB002, WOLF RIVER AT OUTLET OF WOLF LAKE,54.71,111.0,True
193,06AD006, BEAVER RIVER AT COLD LAKE RESERVE,54.36,110.22,True
194,07AA001, MIETTE RIVER NEAR JASPER,52.86,118.11,True
195,07AA002, ATHABASCA RIVER NEAR JASPER,52.91,118.06,True
196,07AD002, ATHABASCA RIVER AT HINTON,53.42,117.57,True
197,07AE001, ATHABASCA RIVER NEAR WINDFALL,54.21,116.06,False
198,07AF002, MCLEOD RIVER ABOVE EMBARRAS RIVER,53.47,116.63,True
199,07AF010, SUNDANCE CREEK NEAR BICKERDIKE,53.57,116.7,True
200,07AG004, MCLEOD RIVER NEAR WHITECOURT,54.01,115.84,True
201,07AH001, FREEMAN RIVER NEAR FORT ASSINIBOINE,54.36,114.9,True
202,07AH002, CHRISTMAS CREEK NEAR BLUE RIDGE,54.23,115.33,True
203,07BA002, RAT CREEK NEAR CYNTHIA,53.14,115.49,True
204,07BB002, PEMBINA RIVER NEAR ENTWISTLE,53.6,115.0,True
205,07BB005, LITTLE PADDLE RIVER NEAR MAYERTHORPE,53.95,115.02,True
206,07BC002, PEMBINA RIVER AT JARVIE,54.45,113.99,False
207,07BC006, DAPP CREEK AT HIGHWAY NO. 44,54.31,113.85,True
208,07BE001, ATHABASCA RIVER AT ATHABASCA,54.72,113.29,False
209,07BF001, EAST PRAIRIE RIVER NEAR ENILDA,55.42,116.34,True
210,07BF002, WEST PRAIRIE RIVER NEAR HIGH PRAIRIE,55.45,116.49,True
211,07BJ001, SWAN RIVER NEAR KINUSO,55.32,115.42,True
